Household_ID,Region,Country,Energy_Source,Monthly_Usage_kWh,Year,Household_Size,Income_Level,Urban_Rural,Adoption_Year,Subsidy_Received,Cost_Savings_USD
H01502,North America,USA,Hydro,1043.49,2024,5,Low,Urban,2012,No,10.46
H02587,Australia,Australia,Geothermal,610.01,2024,4,High,Rural,2023,No,43.49
H02654,North America,USA,Biomass,1196.75,2024,8,Low,Rural,2017,Yes,93.28
H01056,South America,Colombia,Biomass,629.67,2024,7,High,Urban,2023,No,472.85
H00706,Africa,Egypt,Hydro,274.46,2022,7,Middle,Rural,2010,No,65.98
H00107,South America,Brazil,Biomass,375.99,2022,2,High,Urban,2011,No,20.93
H00590,Africa,Ghana,Geothermal,547.5,2020,8,High,Rural,2012,Yes,21.99
H02469,Australia,New Zealand,Geothermal,759.23,2024,4,Low,Urban,2020,Yes,127.02
H02414,South America,Peru,Biomass,571.7,2021,6,Low,Rural,2021,Yes,199.2
H01601,South America,Argentina,Geothermal,851.77,2023,8,High,Urban,2019,Yes,108.09
H02465,Europe,Germany,Wind,385.35,2024,8,Middle,Urban,2018,No,190.91
H00229,Europe,France,Hydro,1315.9,2023,7,Middle,Rural,2015,Yes,309.88
H00916,Asia,South Korea,Wind,60.12,2020,5,Middle,Rural,2019,Yes,445.11
H00795,South America,Chile,Geothermal,1001.42,2021,8,Middle,Urban,2021,Yes,483.41
H03022,Africa,Ghana,Biomass,1349.51,2020,2,Low,Rural,2012,Yes,340.29
H03544,Africa,South Africa,Geothermal,764.42,2022,7,High,Rural,2022,No,391.14
H01074,Asia,India,Wind,745.47,2024,5,Low,Urban,2010,Yes,378.25
H03352,Asia,Indonesia,Hydro,598.71,2022,3,High,Rural,2012,Yes,181.65
H01745,Asia,China,Wind,733.7,2022,3,Low,Rural,2019,Yes,168.73
H01085,Europe,Spain,Solar,336.45,2022,2,High,Rural,2013,No,489.73
H00927,Australia,New Zealand,Solar,880.87,2024,4,Middle,Urban,2020,No,483.96
H03050,Africa,Ghana,Solar,1311.18,2020,1,High,Rural,2018,No,88.96
H01118,Europe,Italy,Hydro,130.66,2021,4,Middle,Urban,2010,No,420.79
H00643,Asia,Indonesia,Solar,124.44,2020,6,High,Rural,2013,Yes,217.69
H04768,Europe,Italy,Wind,1377.88,2023,4,Low,Rural,2020,Yes,228.95
H00502,Africa,Ghana,Biomass,59.94,2020,8,Middle,Rural,2014,Yes,14.19
H04067,Africa,Nigeria,Geothermal,1185.31,2022,7,High,Urban,2014,Yes,25.91
H00334,North America,USA,Solar,496.13,2020,3,High,Urban,2011,Yes,305.75
H04685,Africa,Egypt,Wind,1313.73,2020,8,High,Rural,2014,No,38.77
H00487,South America,Colombia,Hydro,1212.39,2023,8,High,Rural,2023,No,349.67
H01963,South America,Argentina,Wind,632.76,2023,6,Low,Rural,2010,No,47.87
H00394,Australia,Australia,Wind,1062.08,2022,5,Middle,Urban,2015,No,84.08
H04843,Europe,Germany,Geothermal,1003.4,2023,1,Low,Rural,2019,Yes,168.1
H04867,South America,Colombia,Solar,1311.28,2023,6,Low,Rural,2019,Yes,467.23
H01756,Africa,Kenya,Solar,1363.84,2021,1,Low,Rural,2021,Yes,49.93
H02516,Asia,Japan,Biomass,1237.8,2021,8,Low,Urban,2020,No,310.58
H03586,Asia,Japan,Hydro,367.1,2020,6,High,Rural,2014,Yes,27.82
H04316,Australia,Australia,Biomass,128.28,2020,3,Middle,Urban,2015,Yes,135.61
H04967,Australia,New Zealand,Solar,396.76,2020,5,High,Urban,2014,No,392.42
H02100,North America,USA,Biomass,228.6,2024,2,High,Rural,2014,Yes,186.42
H03600,North America,Canada,Solar,1450.44,2023,1,Low,Rural,2019,No,134.22
H04122,Asia,Japan,Solar,1352.55,2022,4,Low,Urban,2017,Yes,143.43
H00030,Australia,New Zealand,Geothermal,1213.95,2024,5,High,Urban,2016,No,312.68
H00066,Africa,Kenya,Solar,1468.33,2023,1,High,Rural,2010,Yes,156.85
H00839,North America,Mexico,Solar,138.11,2022,2,High,Rural,2013,No,218.23
H03907,Australia,Australia,Biomass,1190.76,2022,4,Middle,Rural,2011,Yes,155.12
H03774,Asia,Japan,Geothermal,508.24,2021,8,Low,Rural,2014,Yes,370.51
H04636,Australia,Australia,Geothermal,479.92,2022,6,High,Urban,2011,Yes,158.06
H03162,North America,USA,Solar,286.32,2020,3,Low,Urban,2020,Yes,434.88
H02660,Africa,Kenya,Geothermal,889.87,2024,4,Middle,Rural,2020,No,234.43
H04616,Europe,France,Hydro,1413.96,2024,1,Middle,Rural,2011,Yes,324.11
H04629,Europe,UK,Wind,505.08,2020,8,Low,Urban,2015,Yes,101.53
H02452,Europe,France,Biomass,257.72,2024,2,Low,Rural,2012,Yes,135.01
H02847,Africa,Egypt,Wind,321.96,2024,2,Middle,Urban,2021,No,274.07
H01145,Africa,Ghana,Wind,659.74,2020,1,Middle,Urban,2011,No,408.35
H03079,North America,USA,Biomass,1343.62,2023,7,High,Rural,2021,No,268.8
H01104,Australia,Australia,Solar,446.89,2024,8,High,Urban,2017,Yes,426.87
H00169,Asia,India,Biomass,1138.1,2023,2,Middle,Urban,2021,No,27.22
H01671,Europe,UK,Wind,565.18,2021,6,High,Urban,2015,Yes,396.74
H02571,Africa,South Africa,Solar,1367.76,2021,2,Low,Urban,2011,Yes,372.64
H02378,North America,USA,Solar,97.28,2022,7,Low,Rural,2012,No,323.83
H04396,Europe,France,Hydro,92.4,2021,6,Low,Urban,2010,No,249.18
H04258,Asia,India,Geothermal,573.54,2023,1,Middle,Urban,2018,No,139.96
H03863,North America,USA,Wind,225.32,2023,2,Low,Rural,2012,No,231.42
H00024,South America,Chile,Geothermal,552.34,2023,2,Low,Rural,2014,Yes,325.75
H02634,South America,Colombia,Biomass,938.79,2022,4,Low,Urban,2021,Yes,432.85
H03341,Europe,Germany,Hydro,158.61,2023,1,Low,Rural,2019,Yes,202.18
H02216,South America,Colombia,Wind,1107.13,2022,2,Middle,Rural,2016,Yes,119.49
H03683,Asia,India,Solar,1472.46,2023,2,Middle,Rural,2013,No,78.66
H04725,Australia,New Zealand,Solar,915.26,2020,6,Middle,Rural,2014,Yes,238.18
H01908,South America,Peru,Geothermal,1487.76,2023,7,High,Urban,2023,Yes,278.7
H00085,South America,Brazil,Geothermal,1067.49,2023,6,High,Urban,2022,Yes,148.85
H00228,South America,Peru,Geothermal,262.1,2022,6,High,Rural,2011,No,34.94
H00297,Asia,India,Wind,353.84,2021,8,Middle,Urban,2013,No,447.73
H01002,South America,Chile,Biomass,141.67,2020,7,Middle,Rural,2018,No,336.72
H02139,Asia,India,Solar,480.38,2023,3,Middle,Urban,2013,No,312.34
H00712,Africa,Ghana,Wind,1070.46,2024,6,Low,Rural,2023,No,435.48
H02802,Africa,Kenya,Hydro,362.72,2020,4,Low,Rural,2020,Yes,437.57
H02528,Europe,France,Wind,1014.23,2023,1,High,Urban,2023,No,388.25
H03753,Europe,Italy,Biomass,173.5,2020,8,Low,Urban,2018,Yes,426.4
H03322,North America,Mexico,Geothermal,1315.86,2021,1,Middle,Urban,2010,No,406.14
H03182,South America,Brazil,Wind,290.7,2021,3,Low,Rural,2014,Yes,31.15
H04184,Asia,South Korea,Solar,1346.3,2023,3,Low,Urban,2021,Yes,439.83
H01616,North America,USA,Wind,517.87,2023,1,Low,Rural,2019,Yes,226.61
H03025,South America,Peru,Geothermal,620.95,2021,4,High,Rural,2014,Yes,210.43
H01414,South America,Peru,Solar,755.88,2020,1,High,Rural,2016,No,94.79
H00764,Europe,Spain,Biomass,1336.27,2022,6,Low,Urban,2015,No,216.19
H00656,Europe,Spain,Wind,801.46,2021,2,High,Urban,2018,No,403.96
H04798,South America,Peru,Wind,1181.83,2020,8,Low,Urban,2012,No,230.34
H03850,South America,Chile,Hydro,508.47,2024,2,Low,Urban,2014,Yes,394.27
H04154,Asia,Indonesia,Hydro,1131.03,2024,6,Middle,Urban,2020,Yes,242.41
H00469,North America,Mexico,Biomass,1337.29,2021,8,High,Rural,2013,No,72.06
H00158,North America,Canada,Geothermal,312.43,2024,6,Middle,Rural,2022,Yes,290.55
H01296,North America,Canada,Solar,1086.7,2024,4,Low,Urban,2012,No,349.26
H00498,Africa,Egypt,Biomass,1377.82,2023,5,Middle,Urban,2019,No,190.78
H04741,Asia,Japan,Solar,195.58,2020,1,Middle,Rural,2013,No,29.13
H02941,North America,Mexico,Biomass,1359.83,2020,3,Middle,Rural,2018,Yes,67.58
H03457,Europe,Spain,Wind,790.41,2024,7,Middle,Rural,2015,Yes,467.87
H00374,South America,Brazil,Biomass,783.83,2022,2,Low,Urban,2011,Yes,373.55
H00080,Asia,Indonesia,Geothermal,1199.26,2020,3,Middle,Urban,2013,Yes,446.3
H01554,Europe,UK,Solar,617.86,2022,2,High,Rural,2011,No,59.81
H01670,Africa,Nigeria,Biomass,56.77,2021,7,Low,Rural,2019,Yes,346.91
H02132,South America,Peru,Solar,349.19,2023,8,Middle,Rural,2018,No,291.84
H04440,North America,USA,Biomass,126.98,2021,5,Low,Urban,2015,No,188.27
H00466,Europe,Italy,Hydro,1380.58,2023,7,Low,Rural,2022,Yes,477.47
H00249,North America,USA,Wind,1148.49,2024,7,High,Urban,2011,Yes,230.07
H00932,Africa,Ghana,Biomass,275.6,2021,3,Middle,Urban,2010,No,334.9
H01336,South America,Argentina,Biomass,657.47,2024,8,High,Rural,2013,Yes,174.62
H04525,South America,Chile,Wind,68.97,2021,7,High,Urban,2021,No,222.89
H01339,South America,Colombia,Hydro,397.97,2024,5,Low,Urban,2022,Yes,164.82
H01407,Europe,France,Geothermal,1404.65,2020,6,High,Rural,2012,Yes,240.32
H01091,Asia,Indonesia,Hydro,120.82,2022,6,High,Rural,2010,Yes,170.0
H04210,Australia,Australia,Biomass,685.94,2023,4,Middle,Urban,2021,Yes,370.77
H00743,Australia,Australia,Wind,87.36,2024,3,Middle,Urban,2023,Yes,295.17
H02324,Asia,China,Wind,589.71,2021,5,Middle,Rural,2017,Yes,450.44
H03602,Australia,New Zealand,Wind,725.7,2022,7,High,Rural,2015,No,180.48
H02124,Australia,Australia,Wind,327.66,2021,5,Middle,Urban,2015,No,261.31
H02095,North America,Canada,Hydro,288.77,2020,8,High,Rural,2017,Yes,247.52
H00241,Africa,Ghana,Hydro,539.38,2023,3,High,Urban,2021,No,395.61
H02352,North America,Mexico,Solar,539.33,2024,5,Middle,Urban,2010,Yes,239.05
H01371,Asia,India,Wind,1277.1,2022,1,Low,Rural,2014,Yes,407.61
H01058,Asia,South Korea,Solar,928.64,2020,7,Middle,Rural,2017,No,254.12
H04817,Africa,Egypt,Solar,370.61,2021,1,Middle,Rural,2017,Yes,472.89
H00200,Asia,Indonesia,Hydro,1365.93,2022,6,Low,Urban,2017,Yes,73.2
H02281,North America,USA,Solar,573.27,2020,7,High,Urban,2019,No,205.23
H04750,North America,USA,Hydro,484.11,2022,8,Low,Rural,2013,No,119.54
H02221,Europe,UK,Solar,682.51,2020,3,Middle,Rural,2016,No,47.93
H04772,Africa,Ghana,Biomass,645.39,2020,3,High,Urban,2012,No,231.35
H02820,Europe,Spain,Biomass,1304.44,2023,6,High,Rural,2014,Yes,214.29
H03151,South America,Brazil,Hydro,490.87,2022,5,Low,Rural,2021,Yes,70.79
H04257,Africa,South Africa,Wind,1489.82,2020,5,Middle,Urban,2017,No,490.12
H03108,North America,Canada,Biomass,619.75,2022,7,High,Urban,2012,No,104.69
H01974,Europe,Spain,Biomass,429.18,2021,7,Middle,Urban,2016,No,120.5
H01376,Australia,New Zealand,Solar,308.49,2020,7,High,Urban,2011,Yes,337.7
H03969,Australia,New Zealand,Geothermal,665.01,2020,2,Low,Rural,2020,Yes,497.64
H04063,South America,Brazil,Solar,1093.44,2022,2,Middle,Rural,2016,No,281.95
H04446,Europe,Spain,Hydro,493.6,2022,5,High,Urban,2010,Yes,321.36
H03558,Asia,Japan,Biomass,983.71,2023,4,High,Rural,2011,No,59.34
H00965,South America,Argentina,Biomass,1457.1,2022,6,High,Rural,2020,No,243.14
H00180,North America,USA,Geothermal,75.48,2022,5,Middle,Rural,2010,Yes,292.48
H03699,South America,Brazil,Hydro,1308.61,2023,7,High,Rural,2013,No,38.66
H03822,Asia,South Korea,Wind,1479.75,2021,2,Low,Urban,2011,No,463.78
H04879,Australia,New Zealand,Hydro,305.57,2021,5,Middle,Rural,2012,No,149.72
H03900,Africa,Ghana,Solar,878.96,2021,1,High,Rural,2014,Yes,357.61
H04488,South America,Brazil,Biomass,602.44,2020,5,Low,Rural,2013,Yes,460.76
H03239,Africa,Ghana,Biomass,431.34,2024,3,High,Urban,2019,Yes,340.09
H02975,Asia,South Korea,Wind,195.3,2022,3,High,Rural,2016,No,132.92
H03581,North America,Mexico,Biomass,157.2,2021,4,Low,Rural,2017,Yes,321.34
H02888,Asia,China,Geothermal,1457.7,2020,1,Middle,Urban,2019,Yes,422.2
H02576,Asia,Japan,Geothermal,473.01,2020,5,High,Rural,2015,No,102.69
H01420,Australia,Australia,Geothermal,940.32,2021,7,Middle,Rural,2014,No,323.03
H03908,Australia,Australia,Biomass,1427.43,2022,8,Middle,Rural,2010,Yes,80.32
H04674,Asia,Japan,Biomass,298.6,2022,6,Middle,Rural,2016,No,108.45
H04903,South America,Colombia,Biomass,600.31,2022,1,Low,Urban,2012,Yes,18.8
H01861,Europe,Spain,Biomass,1099.42,2021,6,Middle,Urban,2014,No,107.82
H00009,North America,Canada,Solar,524.26,2021,1,Low,Urban,2011,No,163.98
H02895,North America,Canada,Wind,206.02,2020,5,High,Rural,2016,No,417.95
H02848,South America,Argentina,Biomass,188.5,2021,5,Middle,Urban,2017,No,335.72
H03665,Europe,Spain,Biomass,748.91,2022,4,High,Rural,2019,Yes,363.23
H00145,Australia,New Zealand,Hydro,759.41,2020,4,Low,Urban,2010,Yes,170.76
H02105,Asia,South Korea,Geothermal,300.42,2020,4,Low,Rural,2015,No,10.46
H03144,Africa,Egypt,Geothermal,1477.01,2020,4,Middle,Rural,2015,Yes,16.2
H00842,Europe,France,Wind,1122.91,2024,2,Low,Urban,2020,Yes,105.34
H01129,Europe,Spain,Geothermal,1322.08,2023,4,Middle,Rural,2017,Yes,396.55
H00152,South America,Colombia,Wind,1347.12,2022,6,Middle,Urban,2014,No,253.14
H03592,South America,Argentina,Wind,1204.33,2020,5,Low,Urban,2013,Yes,426.44
H01053,Asia,India,Solar,691.98,2021,2,Low,Urban,2018,No,431.92
H01591,Africa,Egypt,Wind,1190.35,2020,2,High,Rural,2010,Yes,375.89
H03009,South America,Peru,Hydro,980.81,2021,1,High,Rural,2014,Yes,348.75
H02030,North America,Canada,Wind,442.81,2023,7,Low,Rural,2020,No,424.1
H03419,South America,Colombia,Geothermal,768.12,2021,6,Middle,Urban,2014,Yes,387.81
H01808,North America,Canada,Hydro,143.44,2022,4,Low,Urban,2022,No,269.71
H02697,North America,Canada,Biomass,1439.77,2021,4,Low,Rural,2021,No,398.44
H03040,South America,Peru,Solar,99.95,2022,3,Middle,Rural,2018,No,378.59
H00473,South America,Argentina,Wind,1245.99,2023,7,Low,Urban,2014,Yes,243.14
H03290,Africa,Ghana,Hydro,348.69,2022,7,High,Urban,2017,Yes,405.3
H04075,North America,USA,Wind,482.53,2022,1,High,Urban,2016,No,139.24
H03497,Africa,Ghana,Wind,1204.33,2022,5,Low,Rural,2018,Yes,309.6
H00280,Australia,Australia,Solar,161.1,2021,8,High,Rural,2014,No,185.25
H01742,Asia,China,Hydro,150.6,2021,5,Middle,Rural,2010,No,375.9
H04625,Africa,Ghana,Solar,656.74,2020,6,Low,Urban,2010,Yes,466.53
H02887,North America,Mexico,Solar,858.65,2022,6,Middle,Rural,2010,No,490.87
H01942,North America,Canada,Geothermal,1288.23,2020,3,Middle,Rural,2015,Yes,124.4
H00101,North America,Canada,Hydro,514.0,2021,2,High,Rural,2014,No,191.36
H02805,Australia,Australia,Hydro,1139.52,2020,1,High,Urban,2012,No,78.2
H03571,Asia,Japan,Solar,917.53,2022,3,Low,Rural,2010,Yes,371.04
H03685,Asia,Indonesia,Hydro,1189.18,2020,6,Low,Urban,2014,No,261.48
H03662,North America,Canada,Hydro,1196.7,2022,3,Middle,Urban,2014,No,164.57
H00531,Asia,Japan,Solar,991.34,2023,2,High,Rural,2015,No,483.79
H01887,Europe,Italy,Biomass,1237.14,2024,5,Middle,Urban,2012,No,363.87
H00682,Australia,Australia,Wind,330.02,2024,5,Middle,Urban,2018,Yes,299.95
H03795,North America,USA,Solar,1105.8,2022,7,Middle,Urban,2019,No,386.36
H03945,North America,Canada,Wind,248.02,2021,1,High,Rural,2015,No,45.92
H04667,Australia,New Zealand,Hydro,412.84,2022,1,High,Urban,2011,No,499.53
H02019,North America,Mexico,Solar,1014.85,2022,1,High,Rural,2022,No,182.93
H01097,Australia,Australia,Wind,617.8,2024,2,Middle,Rural,2015,No,453.2
H00830,Europe,Germany,Wind,810.14,2020,6,Low,Urban,2011,Yes,251.37
H02806,South America,Colombia,Hydro,543.08,2021,6,Middle,Rural,2017,Yes,28.77
H03830,South America,Peru,Solar,1358.1,2023,7,Middle,Urban,2013,Yes,181.69
H04382,North America,Canada,Biomass,402.76,2022,6,Middle,Urban,2021,No,393.17
H03892,Asia,Indonesia,Biomass,856.3,2020,5,Middle,Urban,2017,Yes,84.45
H00765,Australia,Australia,Hydro,1291.72,2022,4,Low,Rural,2020,Yes,114.67
H02768,South America,Colombia,Solar,1305.62,2021,4,High,Urban,2010,Yes,212.16
H04329,Africa,South Africa,Wind,991.41,2022,5,Low,Rural,2020,Yes,414.42
H03296,North America,Mexico,Biomass,936.5,2022,8,High,Rural,2022,Yes,131.42
H02195,North America,Mexico,Biomass,605.54,2023,5,Low,Rural,2012,Yes,28.81
H02358,Australia,New Zealand,Solar,336.67,2024,4,High,Urban,2016,No,323.93
H03426,Africa,Ghana,Biomass,649.48,2022,1,Low,Urban,2012,Yes,369.0
H03980,Europe,Germany,Biomass,1389.41,2024,8,High,Urban,2020,No,141.18
H00912,North America,Canada,Solar,366.66,2024,7,Middle,Rural,2022,No,75.84
H03146,Australia,Australia,Wind,1463.07,2020,6,Middle,Urban,2018,Yes,495.81
H01000,Australia,Australia,Hydro,824.46,2024,2,Middle,Rural,2017,No,137.17
H03654,Australia,Australia,Hydro,820.82,2023,2,High,Urban,2016,No,345.47
H02484,Asia,India,Geothermal,634.36,2023,5,High,Rural,2022,Yes,93.87
H04077,Europe,Spain,Wind,1178.89,2022,5,Low,Urban,2015,Yes,279.53
H02371,Africa,Kenya,Wind,436.7,2022,2,Low,Rural,2014,Yes,34.98
H04839,Africa,Nigeria,Hydro,688.03,2024,3,Middle,Urban,2016,No,43.2
H00034,Asia,Japan,Biomass,227.55,2022,2,High,Urban,2010,No,285.05
H03790,South America,Chile,Solar,206.02,2021,5,High,Urban,2021,No,134.83
H01021,North America,USA,Geothermal,1406.89,2024,5,Low,Rural,2021,Yes,108.08
H01648,Asia,Indonesia,Biomass,1086.68,2023,1,High,Rural,2023,No,235.96
H00734,Asia,China,Solar,297.93,2024,3,Low,Urban,2014,No,82.17
H04583,South America,Colombia,Hydro,1450.34,2023,6,Low,Urban,2019,No,417.6
H03275,Africa,Egypt,Solar,964.18,2020,8,Middle,Urban,2011,No,426.43
H01621,Asia,Japan,Wind,438.89,2022,1,Low,Rural,2020,No,72.15
H03136,Australia,Australia,Hydro,723.04,2023,5,Low,Urban,2023,Yes,494.05
H02690,Africa,Nigeria,Hydro,1300.37,2023,4,Low,Rural,2023,No,456.18
H02708,South America,Peru,Wind,50.83,2022,3,Middle,Urban,2014,No,371.3
H00298,Asia,Indonesia,Biomass,834.24,2023,8,Low,Rural,2018,No,309.85
H02340,Australia,Australia,Hydro,1044.26,2024,4,Low,Urban,2013,Yes,204.81
H00654,Africa,Ghana,Solar,1055.41,2021,3,Low,Rural,2014,Yes,309.72
H03775,Australia,Australia,Solar,327.32,2024,2,High,Urban,2024,No,107.67
H01256,Australia,Australia,Wind,1204.9,2023,5,Low,Urban,2011,No,440.7
H04521,Europe,France,Hydro,688.75,2021,2,High,Rural,2010,Yes,166.82
H00231,Asia,India,Geothermal,757.05,2024,8,Low,Rural,2017,No,171.49
H03277,Africa,Nigeria,Biomass,1418.5,2020,3,Middle,Urban,2012,No,33.3
H03231,Africa,Kenya,Biomass,171.0,2023,6,Low,Rural,2018,Yes,451.73
H00692,Australia,Australia,Wind,949.12,2020,7,Low,Rural,2012,No,39.66
H02755,Australia,Australia,Biomass,1303.48,2022,6,Middle,Urban,2021,No,336.09
H04864,South America,Colombia,Solar,1119.57,2023,7,Middle,Urban,2015,Yes,352.97
H00970,South America,Chile,Biomass,1106.35,2024,8,High,Urban,2021,No,480.46
H00634,South America,Peru,Biomass,1220.52,2021,1,Low,Rural,2017,No,483.75
H04093,Asia,Japan,Biomass,1249.39,2022,3,High,Rural,2022,Yes,109.33
H04078,Africa,South Africa,Geothermal,401.68,2022,6,Low,Urban,2014,Yes,18.18
H01322,South America,Chile,Wind,169.12,2023,4,Low,Rural,2013,No,477.7
H01832,Europe,Italy,Wind,452.9,2024,1,Low,Rural,2020,Yes,45.42
H02179,Asia,Japan,Biomass,59.86,2022,4,High,Rural,2016,No,176.06
H01418,Europe,UK,Biomass,636.26,2024,7,High,Urban,2024,Yes,186.07
H01783,Europe,UK,Geothermal,934.34,2023,7,Low,Rural,2020,Yes,88.55
